||
Electoral district name|Political affiliation|Votes obtained - Votes obtenus
Beauce|People's Party - PPC|10362
Beauce|Free Party Canada|1096
Beauce|NDP-New Democratic Party|1654
Beauce|Liberal|7018
Beauce|Conservative|27514
Beauce|Marijuana Party|206
Beauce|Bloc Québécois|8644
Beauce|Green Party|486
Beauport--Limoilou|Conservative|14092
Beauport--Limoilou|Green Party|1078
Beauport--Limoilou|NDP-New Democratic Party|5055
Beauport--Limoilou|Liberal|12355
Beauport--Limoilou|Marxist-Leninist|119
Beauport--Limoilou|Free Party Canada|737
Beauport--Limoilou|Bloc Québécois|15116
Beauport--Limoilou|Conservative|14164
Beauport--Limoilou|Green Party|1025
Beauport--Limoilou|NDP-New Democratic Party|5075
Beauport--Limoilou|Liberal|12378
Beauport--Limoilou|Marxist-Leninist|119
Beauport--Limoilou|Free Party Canada|737
Beauport--Limoilou|Bloc Québécois|15146
Bécancour--Nicolet--Saurel|Free Party Canada|1215
Bécancour--Nicolet--Saurel|Conservative|8404
Bécancour--Nicolet--Saurel|NDP-New Democratic Party|2531
Bécancour--Nicolet--Saurel|People's Party - PPC|1224
Bécancour--Nicolet--Saurel|Bloc Québécois|27403
Bécancour--Nicolet--Saurel|Liberal|8451
Bécancour--Nicolet--Saurel|Green Party|770
Bécancour--Nicolet--Saurel|Free Party Canada|1215
Bécancour--Nicolet--Saurel|Conservative|8404
Bécancour--Nicolet--Saurel|NDP-New Democratic Party|2550
Bécancour--Nicolet--Saurel|People's Party - PPC|1214
Bécancour--Nicolet--Saurel|Bloc Québécois|27403
Bécancour--Nicolet--Saurel|Liberal|8451
Bécancour--Nicolet--Saurel|Green Party|770
Bellechasse--Les Etchemins--Lévis|Free Party Canada|1802
Bellechasse--Les Etchemins--Lévis|NDP-New Democratic Party|3183
Bellechasse--Les Etchemins--Lévis|Independent|306
Bellechasse--Les Etchemins--Lévis|Green Party|913
Bellechasse--Les Etchemins--Lévis|Bloc Québécois|14670
Bellechasse--Les Etchemins--Lévis|Liberal|10075
Bellechasse--Les Etchemins--Lévis|Conservative|32259
Bellechasse--Les Etchemins--Lévis|Free Party Canada|1793
Bellechasse--Les Etchemins--Lévis|NDP-New Democratic Party|3184
Bellechasse--Les Etchemins--Lévis|Independent|306
Bellechasse--Les Etchemins--Lévis|Green Party|918
Bellechasse--Les Etchemins--Lévis|Bloc Québécois|14669
Bellechasse--Les Etchemins--Lévis|Liberal|10074
Bellechasse--Les Etchemins--Lévis|Conservative|32238
Beloeil--Chambly|Bloc Québécois|34678
Beloeil--Chambly|Pour l'Indépendance du Québec|163
Beloeil--Chambly|NDP-New Democratic Party|5525
Beloeil--Chambly|People's Party - PPC|1344
Beloeil--Chambly|Free Party Canada|845
Beloeil--Chambly|Green Party|1294
Beloeil--Chambly|Liberal|15460
Beloeil--Chambly|Conservative|5622
Beloeil--Chambly|Parti Rhinocéros Party|185
Beloeil--Chambly|Marijuana Party|191
Beloeil--Chambly|Bloc Québécois|34678
Beloeil--Chambly|Pour l'Indépendance du Québec|163
Beloeil--Chambly|NDP-New Democratic Party|5524
Beloeil--Chambly|People's Party - PPC|1316
Beloeil--Chambly|Free Party Canada|810
Beloeil--Chambly|Green Party|1294
Beloeil--Chambly|Liberal|15502
Beloeil--Chambly|Conservative|5661
Beloeil--Chambly|Parti Rhinocéros Party|185
Beloeil--Chambly|Marijuana Party|191
Berthier--Maskinongé|Liberal|8403
Berthier--Maskinongé|NDP-New Democratic Party|18351
Berthier--Maskinongé|Free Party Canada|531
Berthier--Maskinongé|Marijuana Party|199
Berthier--Maskinongé|Bloc Québécois|19339
Berthier--Maskinongé|Green Party|548
Berthier--Maskinongé|Conservative|6007
Berthier--Maskinongé|People's Party - PPC|1496
Berthier--Maskinongé|Liberal|8403
Berthier--Maskinongé|NDP-New Democratic Party|18402
Berthier--Maskinongé|Free Party Canada|551
Berthier--Maskinongé|Marijuana Party|199
Berthier--Maskinongé|Bloc Québécois|19339
Berthier--Maskinongé|Green Party|548
Berthier--Maskinongé|Conservative|6007
Berthier--Maskinongé|People's Party - PPC|1496
Thérèse-De Blainville|People's Party - PPC|1388
Thérèse-De Blainville|Liberal|18398
Thérèse-De Blainville|Conservative|5752
Thérèse-De Blainville|Bloc Québécois|21520
Thérèse-De Blainville|Green Party|1020
Thérèse-De Blainville|NDP-New Democratic Party|3816
Thérèse-De Blainville|Free Party Canada|367
Thérèse-De Blainville|People's Party - PPC|1386
Thérèse-De Blainville|Liberal|18396
Thérèse-De Blainville|Conservative|5773
Thérèse-De Blainville|Bloc Québécois|21526
Thérèse-De Blainville|Green Party|1018
Thérèse-De Blainville|NDP-New Democratic Party|3827
Thérèse-De Blainville|Free Party Canada|362
Pierre-Boucher--Les Patriotes--Verchères|Bloc Québécois|30009
Pierre-Boucher--Les Patriotes--Verchères|People's Party - PPC|1112
Pierre-Boucher--Les Patriotes--Verchères|Free Party Canada|779
Pierre-Boucher--Les Patriotes--Verchères|Liberal|14279
Pierre-Boucher--Les Patriotes--Verchères|NDP-New Democratic Party|4231
Pierre-Boucher--Les Patriotes--Verchères|Conservative|4872
Pierre-Boucher--Les Patriotes--Verchères|Bloc Québécois|29978
Pierre-Boucher--Les Patriotes--Verchères|People's Party - PPC|1078
